计算元件基本参数及相互连接关系文件											
元件个数（上下游边界不算做计算元件）											
1585											
各类型个数											
渠道	渐变段	倒虹吸	节制闸	分水口							
688	605	105	59	128							
整体编号	类型代码	局部编号									
1	5	1									
2	4	1									
3	5	2									
4	7	1									
5	5	3									
6	7	2									
7	5	4									
8	7	3									
9	5	5									
10	7	4									
11	5	6									
12	4	2									
13	5	7									
14	7	5									
15	5	8									
16	6	1									
17	5	9									
18	7	6									
19	5	10									
20	4	3									
21	5	11									
22	7	7									
23	5	12									
24	7	8									
25	5	13									
26	4	4									
27	5	14									
28	7	9									
29	5	15									
30	6	2									
31	5	16									
32	7	10									
33	5	17									
34	7	11									
35	5	18									
36	4	5									
37	5	19									
38	7	12									
39	5	20									
40	4	6									
41	5	21									
42	7	13									
43	5	22									
44	6	3									
45	5	23									
46	7	14									
47	5	24									
48	7	15									
49	5	25									
50	7	16									
51	5	26									
52	7	17									
53	5	27									
54	7	18									
55	5	28									
56	7	19									
57	5	29									
58	7	20									
59	10	1									
60	7	21									
61	5	30									
62	4	7									
63	5	31									
64	7	22									
65	10	2									
66	6	4									
67	5	32									
68	7	23									
69	5	33									
70	7	24									
71	5	34									
72	4	8									
73	5	35									
74	7	25									
75	5	36									
76	7	26									
77	5	37									
78	7	27									
79	5	38									
80	7	28									
81	5	39									
82	7	29									
83	5	40									
84	7	30									
85	5	41									
86	7	31									
87	5	42									
88	7	32									
89	5	43									
90	7	33									
91	5	44									
92	4	9									
93	5	45									
94	7	34									
95	5	46									
96	7	35									
97	5	47									
98	6	5									
99	5	48									
100	7	36									
101	5	49									
102	4	10									
103	5	50									
104	7	37									
105	5	51									
106	7	38									
107	5	52									
108	7	39									
109	10	3									
110	7	40									
111	5	53									
112	7	41									
113	10	4									
114	7	42									
115	5	54									
116	4	11									
117	5	55									
118	4	12									
119	5	56									
120	7	43									
121	10	5									
122	6	6									
123	5	57									
124	7	44									
125	5	58									
126	7	45									
127	10	6									
128	7	46									
129	5	59									
130	7	47									
131	5	60									
132	4	13									
133	5	61									
134	7	48									
135	5	62									
136	7	49									
137	10	7									
138	6	7									
139	5	63									
140	7	50									
141	5	64									
142	7	51									
143	5	65									
144	7	52									
145	5	66									
146	4	14									
147	5	67									
148	7	53									
149	10	8									
150	7	54									
151	5	68									
152	7	55									
153	10	9									
154	7	56									
155	5	69									
156	4	15									
157	5	70									
158	4	16									
159	5	71									
160	7	57									
161	5	72									
162	7	58									
163	5	73									
164	7	59									
165	5	74									
166	7	60									
167	10	10									
168	6	8									
169	5	75									
170	7	61									
171	5	76									
172	7	62									
173	5	77									
174	7	63									
175	5	78									
176	7	64									
177	10	11									
178	7	65									
179	5	79									
180	7	66									
181	5	80									
182	7	67									
183	5	81									
184	4	17									
185	5	82									
186	7	68									
187	5	83									
188	7	69									
189	5	84									
190	7	70									
191	5	85									
192	6	9									
193	5	86									
194	7	71									
195	5	87									
196	7	72									
197	5	88									
198	7	73									
199	5	89									
200	7	74									
201	5	90									
202	7	75									
203	5	91									
204	4	18									
205	5	92									
206	7	76									
207	5	93									
208	7	77									
209	5	94									
210	7	78									
211	5	95									
212	7	79									
213	5	96									
214	7	80									
215	5	97									
216	7	81									
217	10	12									
218	7	82									
219	5	98									
220	4	19									
221	5	99									
222	7	83									
223	5	100									
224	6	10									
225	5	101									
226	7	84									
227	5	102									
228	7	85									
229	5	103									
230	7	86									
231	5	104									
232	7	87									
233	5	105									
234	7	88									
235	5	106									
236	7	89									
237	5	107									
238	7	90									
239	10	13									
240	7	91									
241	5	108									
242	7	92									
243	5	109									
244	7	93									
245	5	110									
246	4	20									
247	5	111									
248	4	21									
249	5	112									
250	7	94									
251	5	113									
252	6	11									
253	5	114									
254	7	95									
255	5	115									
256	7	96									
257	5	116									
258	7	97									
259	5	117									
260	7	98									
261	10	14									
262	7	99									
263	5	118									
264	4	22									
265	5	119									
266	7	100									
267	5	120									
268	6	12									
269	5	121									
270	7	101									
271	5	122									
272	7	102									
273	5	123									
274	7	103									
275	5	124									
276	7	104									
277	5	125									
278	4	23									
279	5	126									
280	7	105									
281	5	127									
282	7	106									
283	5	128									
284	4	24									
285	5	129									
286	7	107									
287	5	130									
288	7	108									
289	5	131									
290	7	109									
291	5	132									
292	7	110									
293	10	15									
294	7	111									
295	5	133									
296	7	112									
297	5	134									
298	7	113									
299	5	135									
300	7	114									
301	5	136									
302	7	115									
303	5	137									
304	7	116									
305	5	138									
306	4	25									
307	5	139									
308	7	117									
309	10	16									
310	6	13									
311	5	140									
312	7	118									
313	5	141									
314	7	119									
315	10	17									
